Name,Other Common Names,Technical Name,Adaptable Styles,toxic,growth form,Sun Requirements,Height Min (ft),Height Max (ft),Width Min (ft),Width Max (ft),Seasonal Interest,primary color,accent color,IMAGE URL
Prairie Acacia,,Acacia angustissima,"Cottage, Naturalistic, Modern Minimalism, Modern Lush",toxic,shrub,"full-sun, part-shade",1,4,1.5,2,"Spring, Fall",,reddish_brown,
Splitbeard Bluestem,,Andropogon ternarius,"Cottage, Naturalistic, Classical, Modern Minimalism, Modern Lush",non-toxic,shrub,"full-sun, part-shade",2,4,0.5,1,"Summer, Fall, Winter",,brown,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282045/cedar-sedge_hwoyoo.jpg
False Boneset,Brickellbush,Brickellia eupatorioides,"Cottage, Naturalistic",non-toxic,Herbaceous,"full-sun, part-shade",3,4,1,2,"Summer, Fall",,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287878/Brickelliacalifornica_hxewed.jpg
Cedar Sedge,,Carex planostachys,"Modern Minimalism, Modern Lush, Naturalistic, Classical",non-toxic,Grass & Sedge,full-sun,0.5,4,1,1,"Spring, Summer",,green,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287880/Carex_angustisquama_yamatanukirn04_ofai6o.jpg
Hairy Sunflower,Rough Sunflower,Helianthus hirsutus,"Cottage, Naturalistic",non-toxic,Herbaceous,"full-sun, part-shade, Shade",3,6,2,3,"Summer, Fall",,yellow,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287882/Hairy_Sunflower__1020466042_hodmut.jpg
Elephant Ear,,Colocasia esculenta,"Modern Minimalism, Modern Lush, Naturalistic, Cottage",toxic,herbaceous,"full-sun, part-shade, full-shade",3,6,2,6,"Summer, Fall, Winter",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282053/elephant-ear_nwvvue.jpg
Foxtail Fern,Asparagus Fern,Asparagus aethiopicus,"Modern Minimalism, Modern Lush, Naturalistic, Classical",toxic,herbaceous,part-shade,2,3,2,3,"Summer, Fall, Winter",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287877/Asparagus_densiflorus__Myersii_oin8n7.jpg
pink muhly grass,,Muhlenbergia capillaris,"Modern Minimalism, Modern Lush, Cottage, Naturalistic, Classical",non-toxic,grass,"full-sun, part-shade",2,3,2,3,"Fall, Winter",grass_green,deep_pink,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282058/pink-muhly-grass_z3sumw.webp
boxwood,,buxus spp.,"Classical, Modern Minimalism, Modern Lush",non-toxic,shrub,"full-sun, part-shade",2,15,2,4,,grass_green,,https://res.cloudinary.com/dprixcop0/image/upload/v1753128204/boxwood_gqpns0.webp
hybrid tea roses,,rosa spp.,Classical,non-toxic,shrub,full-sun,3,6,2,4,,,,
lavender,,lavendula spp.,"Classical, Naturalistic, Cottage, Modern Minimalism, Modern Lush",non-toxic,shrub,full-sun,1,3,4,5,,,purple,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282056/lavender_dc4pon.jpg
hydrangeas,big daddy,hydrangea macrophylla,"Classical, cottage, naturalistic",Toxic,shrub,"full-sun, part-shade, full-shade",5,6,5,6,"Spring, Summer",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287885/Hydrangea_macrophylla_-_Bigleaf_hydrangea2_fjkn5c.jpg
lambs ear,,Stachys byzantina,"Classical, Naturalistic, Cottage, Modern Minimalism, Modern Lush",non toxic,herbaceous,"full-sun, part-shade",6,12,1,3,"spring, summer, fall",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282056/lambs-ear_daq1ds.jpg
cat's pajamas catmint,,epeta,"Classical, Naturalistic, Modern Minimalism, Modern Lush, Cottage",non toxic,herbaceous,"full-sun, part-shade",0.75,2,1,2,"spring, summer, fall",,sage_green,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287881/Chasmanthium_latifolium_Boyle_Park_g8rpma.jpg
coneflowers,,Centaurea cyanus,"Naturalistic, Cottage, Modern Minimalism, Modern Lush",non toxic,herbaceous,full-sun,2,3,2,3,"spring, summer",,pink,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282048/Copy_of_cone-flower_zqcl3s.jpg
Hakone grass,Aurelia,Hakonechloa macra,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non toxic,grass,"full-sun, part-shade, full-shade",1,2,1,2,"Spring, Summer, Fall",,yellow,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282055/hakone-grass_inabds.jpg
Siberian Bugloss,Jack Frost,Brunnera macrophylla,"Naturalistic, Cottage, Classical",non toxic,herbaceous,"part-shade, full-shade",1,2,1,2,"Spring, Summer",,blue,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287881/Brunnera-macrophhylla-1_xq83za.jpg
Hellebore,,Helleborus x nigercors,"Naturalistic, Cottage, Classical",toxic,herbaceous,part-shade,1,2,1,2,"Spring, Winter",,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287885/Helleborus_orientalis._Lenteroos_04_c7xr2e.jpg
Chinese Silver Grass,,Miscanthus sinensis,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non toxic,grass,"full-sun, part-shade",3,8,3,5,"Summer, Fall, Winter",grass_green,tan,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287886/Japanese_pampas_grass_%E3%82%B9%E3%82%B9%E3%82%AD%E3%81%AE%E7%A9%82%E6%B3%A2PB080105_umyjuu.jpg
century plant,,agave americana,"Naturalistic, Modern Minimalism, Modern Lush",toxic,succulent,full-sun,3,6,6,10,"spring, summer",sage_green,goldenrod,
inland sea oats,,Chasmanthium latifolium,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non toxic,grass,"part-shade, full-shade",2,4,1,6,fall,,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287881/Chasmanthium_latifolium_Boyle_Park_g8rpma.jpg
lavender cotton,,Santolina chamaecyparissus,"Naturalistic, Modern Minimalism, Modern Lush, Classical",toxic,shrub,"full-sun, part-shade",1,2,2,3,"spring, summer, fall",,silver_gray,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287878/Astilbe_rubra_kz2_ijxkt0.jpg
japanese painted fern,,Athyrium niponicum var. pictum,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",toxic,herbaceous,"part-shade, full-shade",1,1.5,1,1.5,"spring, summer",purple_brown,pale_green,https://res.cloudinary.com/dprixcop0/image/upload/v1753127972/japanese-painted-fern_tioauz.jpg
hosta 'formal attire',,Plantain lilies,"Naturalistic, Cottage, Classical",toxic,shrub,"part-shade, full-shade",1.5,2.5,2,2.5,"spring, summer",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287885/Hosta_plantaginea_cv_Royal_Standard_1_wjby1o.jpg
astilbe,,Astilbe,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non toxic,herbaceous,"full-sun, part-shade, full-shade",1.5,6,1.5,6,"spring, summer",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287878/Astilbe_rubra_kz2_ijxkt0.jpg
heuchera 'bella notte',"Coral Bells, Bella Notte",bella notte,"Naturalistic, Cottage, Classical",non toxic,shrub,"part-shade, full-shade",0.75,1,1,1.25,"summer, fall",,,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753287889/San_Gabriel_Mountains_coralbells_wmtf7w.jpg
Foamflower,,Tiarella cordifolia,"Naturalistic, Cottage, Classical",non-toxic,herbaceous,"part-shade, full-shade",0.5,1,1,2,summer,lime_green,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282055/foamflower_hw5oc7.jpg
Spreading Plum Yew,Spreading Japanese Plum Yew,Cephalotaxus harringtonia 'Prostrata',"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non toxic,shrub,"full-sun, part-shade",2,3,3,4,"summer, fall",lime_green,,https://res.cloudinary.com/dprixcop0/image/upload/v1753127016/spreading-japanese-plum-yew_c7753v.webp
Anacacho Orchid Tree,,Bauhinia lunarioides,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non-toxic,shrub,"full-sun, part-shade",6,12,3,6,Spring,sage_green,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282044/anacacho-orchid-tree_fw1xpf.jpg
Teresa's Texas Sage,,Salvia greggii 'Teresa',"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non-toxic,shrub,"full-sun, part-shade",2.5,3,2.5,3,"Spring, summer",grass_green,baby_lavender,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282058/teresas-texas-sage_evcdgc.jpg
Blackfoot Daisy,,Melampodium leucanthum,"Naturalistic, Cottage, Classical",non-toxic,Herbaceous,"full-sun, part-shade",0.5,1,1,2,"Spring, Summer, Fall",grass_green,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282046/Copy_of_anacacho-orchid-tree_vovrrs.jpg
Flame Acanthus,,Anisacanthus quadrifidus,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non-toxic,shrub,"full-sun, part-shade, full-shade",3,5,2,4,"Summer, Fall",lime_green,red_orange,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282054/flame-acanthus_e0ci4n.jpg
Mealy Blue Sage,,Salvia farinacea,"Naturalistic, Cottage, Classical",non-toxic,shrub,full-sun,2,3,3,3,"Spring, Summer, Fall",sage_green,lavender,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282056/mealy-blue-sage_ixgfxa.jpg
Texas Sotol,,Dasylirion texanum,"Naturalistic, Modern Minimalism, Modern Lush, Classical",non-toxic,shrub,full-sun,1.5,2.5,1.5,2.5,Summer,grass_green,yellow,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282059/texas-sotol_qaxtys.jpg
White Autumn Sage,,Salvia Greggii ‘White’,"Naturalistic, Cottage, Modern Minimalism, Modern Lush, Classical",non-toxic,shrub,"full-sun, part-shade",2,3,2,3,"Spring, summer",grass_green,baby_lavender,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282059/white-autumn-sage_ekfmqt.jpg
Mexican Feathergrass,,Nassella tenuissima,"Modern Minimalism, Modern Lush, Naturalistic, Cottage",non-toxic,Grass,"full-sun, part-shade",1,3,1,3,Summer,pale_green,white,https://res.cloudinary.com/dmlezxkp3/image/upload/v1753282056/mexican-feathergrass_tdsafo.jpg
